author1,author2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,jaccard_similarity,label,adamic_adar_normalized,pyramid_match,pyramid_match_normalized,propagation,propagation_normalized,weisfeiler_pyramid_match,weisfeiler_pyramid_match_normalized
E Cornelissen,H L. Dewerchin,1.8204784532536746,2.0,9.0,4.0,1.0,1,0.05433002430380084,607.5,0.05278248403492767,3886.0,0.006081557980597232,3645.0,0.16119402985074627
E Cornelissen,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05278248403492767,3102.0,0.004854604440507621,3645.0,0.16119402985074627
H L. Dewerchin,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05278248403492767,5230.0,0.008184906906465138,3645.0,0.16119402985074627
E Cornelissen,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05278248403492767,4276.0,0.006691904767121401,3645.0,0.16119402985074627
Yu-Tsung Huang,Po-Ren Hsueh,1.1777856130458912,2.0,195.0,66.0,,1,0.03514961732564581,1635.875,0.14213258612450586,22199.0,0.03474125208730776,2430.0,0.10746268656716418
B Guery,T D&apos;escrivan,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.1879317085885573,20839.0,0.03261286329327476,4570.0,0.20210060807075733
T D&apos;escrivan,H Georges,4.51019598729719,9.0,100.0,11.0,1.0,1,0.13460145994412184,2205.0,0.19158086797862636,20484.0,0.03205729121836173,13230.0,0.5850746268656717
T D&apos;escrivan,O Leroy,4.51019598729719,9.0,100.0,11.0,,1,0.13460145994412184,2205.0,0.19158086797862636,36576.0,0.057241138625405134,13230.0,0.5850746268656717
B Guery,O Leroy,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.1879317085885573,20684.0,0.03237028957042541,4570.0,0.20210060807075733
L Legout,N Viget,2.206970328522196,5.0,36.0,7.0,1.0,1,0.06586441678124609,2205.0,0.19158086797862636,18772.0,0.029378025324696664,13230.0,0.5850746268656717
H Georges,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.19158086797862636,10590.0,0.016573262741771663,13230.0,0.5850746268656717
O Leroy,K Faure,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.19158086797862636,23038.0,0.03605428017421488,13230.0,0.5850746268656717
L Legout,K Faure,2.206970328522196,5.0,36.0,7.0,,1,0.06586441678124609,2205.0,0.19158086797862636,15176.0,0.023750314954591765,13230.0,0.5850746268656717
Keith Knisley,Julian L. Leibowitzatb,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.017594161344975892,246.0,0.00038498797303832195,1215.0,0.05373134328358209
L Scott Rodkey,Julian L. Leibowitzatb,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.017594161344975892,176.0,0.00027543854981603523,1215.0,0.05373134328358209
L Scott Rodkey,Emma L. Oleszak,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.017594161344975892,234.0,0.00036620807191450135,1215.0,0.05373134328358209
Julian L. Leibowitzatb,Emma L. Oleszak,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.017594161344975892,220.0,0.000344298187270044,1215.0,0.05373134328358209
Tsutomu Hohdatsu,Takahiro Tatekawa,0.35295612386476116,1.0,54.0,28.0,,1,0.010533557677365005,517.0,0.044919414396802644,2299.0,0.00359791605697196,1118.5,0.049463792150359315
Takahiro Tatekawa,Hiroyuki Koyama,0.30341307554227914,1.0,34.0,18.0,,1,0.009055004050633475,516.875,0.04490855380337982,1239.0,0.0019390247910344752,1464.875,0.06478164731896076
Tsutomu Hohdatsu,Hiroyuki Koyama,9.311175157313597,16.0,459.0,28.0,,1,0.27788099973919494,2733.875,0.23753203875059734,17050.0,0.02668310951342841,4440.875,0.19639027086788283
Brenda Griffin,Henry J. Baker,0.0,0.0,1.0,2.0,1.0,1,0.0,0,0.0,0,0.0,0,0.0
Martin Meier-Schellersheim,Aleksandra Nita-Lazar,1.8204784532536746,2.0,9.0,4.0,1.0,1,0.05433002430380084,776.25,0.06744428515574091,3473.0,0.00543521638358574,4657.5,0.20597014925373136
Johanna Nokso-Koivisto,Tasnee Chonmaitree,3.4592826638065475,5.0,264.0,30.0,,1,0.10323819590527047,2757.375,0.23957383031408838,13867.0,0.021701740740335002,5097.625,0.22543394140409068
Tal Marom,Tasnee Chonmaitree,0.4170323914242463,1.0,48.0,25.0,,1,0.012445838027391526,2341.75,0.2034623571831965,3138.0,0.004910944143879083,3830.5,0.1693974571586512
Walid S. Maaty,Stephanie Ryder,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10556496806985534,891.0,0.0013944076584436783,7290.0,0.32238805970149254
