author1,author2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,jaccard_similarity,label,adamic_adar_normalized,pyramid_match,pyramid_match_normalized,propagation,propagation_normalized,weisfeiler_pyramid_match,weisfeiler_pyramid_match_normalized
H L. Dewerchin,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.046266326491755834,5126.0,0.02289486495781467,3645.0,0.16119402985074627
Heungsup Sung,Sang-Ho Choi,6.90634260370537,22.0,598.0,27.0,,1,0.20611161908511896,3907.625,0.2975991013289669,18992.0,0.08482623395997195,7477.5,0.3306799336650083
B Guery,T D&apos;escrivan,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.16473096987928867,32294.0,0.14423854251807783,4570.0,0.20210060807075733
T D&apos;escrivan,H Georges,4.51019598729719,9.0,100.0,11.0,1.0,1,0.13460145994412184,2205.0,0.16792962948859524,27124.0,0.12114715511427332,13230.0,0.5850746268656717
B Guery,L Legout,2.4191046988122498,5.0,108.0,19.0,,1,0.07219531593192344,2163.0,0.16473096987928867,32639.0,0.14577945715140714,4570.0,0.20210060807075733
T D&apos;escrivan,L Legout,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.16792962948859524,29580.0,0.13211668073588723,13230.0,0.5850746268656717
T D&apos;escrivan,O Leroy,4.51019598729719,9.0,100.0,11.0,,1,0.13460145994412184,2205.0,0.16792962948859524,14198.0,0.06341422018553505,13230.0,0.5850746268656717
B Guery,O Leroy,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.16473096987928867,56123.0,0.25066884627924946,4570.0,0.20210060807075733
B Guery,N Viget,2.4191046988122498,5.0,108.0,19.0,,1,0.07219531593192344,2163.0,0.16473096987928867,33068.0,0.14769555099980794,4570.0,0.20210060807075733
H Georges,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.16792962948859524,25600.0,0.1143403322122621,13230.0,0.5850746268656717
T D&apos;escrivan,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.16792962948859524,25652.0,0.11457258601206825,13230.0,0.5850746268656717
