author1,author2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,jaccard_similarity,label,adamic_adar_normalized,pyramid_match,pyramid_match_normalized,propagation,propagation_normalized,weisfeiler_pyramid_match,weisfeiler_pyramid_match_normalized
H L. Dewerchin,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.046266326491755834,5308.0,0.02695812044815082,3645.0,0.16119402985074627
E Van Hamme,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.046266326491755834,4830.0,0.024530467551727293,3645.0,0.16119402985074627
H L. Dewerchin,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.046266326491755834,2280.0,0.011579599589635243,3645.0,0.16119402985074627
Mi-Na Kim,Sang-Ho Choi,6.929691788084171,22.0,782.0,35.0,,1,0.20680844785148364,3600.625,0.27421842275617836,5652.0,0.028705217930095787,6113.625,0.2703648424543947
Heungsup Sung,Sang-Ho Choi,6.90634260370537,22.0,598.0,27.0,,1,0.20611161908511896,3907.625,0.2975991013289669,3115.0,0.01582037400075166,7477.5,0.3306799336650083
T D&apos;escrivan,H Georges,4.51019598729719,9.0,100.0,11.0,1.0,1,0.13460145994412184,2205.0,0.16792962948859524,10546.0,0.05356072687381284,13230.0,0.5850746268656717
T D&apos;escrivan,O Leroy,4.51019598729719,9.0,100.0,11.0,,1,0.13460145994412184,2205.0,0.16792962948859524,22650.0,0.11503418013387642,13230.0,0.5850746268656717
L Legout,N Viget,2.206970328522196,5.0,36.0,7.0,1.0,1,0.06586441678124609,2205.0,0.16792962948859524,16682.0,0.0847240703308312,13230.0,0.5850746268656717
B Guery,N Viget,2.4191046988122498,5.0,108.0,19.0,,1,0.07219531593192344,2163.0,0.16473096987928867,41841.0,0.21250088878505624,4570.0,0.20210060807075733
H Georges,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.16792962948859524,18618.0,0.09455657243852147,13230.0,0.5850746268656717
O Leroy,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.16792962948859524,22296.0,0.11323629493443306,13230.0,0.5850746268656717
O Leroy,K Faure,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.16792962948859524,18022.0,0.09152962447561683,13230.0,0.5850746268656717
B Guery,K Faure,2.4191046988122498,5.0,108.0,19.0,,1,0.07219531593192344,2163.0,0.16473096987928867,74447.0,0.3780993204603399,4570.0,0.20210060807075733
Emilia L. Oleszaka,Keith Knisley,2.164042561333445,3.0,16.0,5.0,1.0,1,0.06458328838859503,202.5,0.015422108830585278,242.0,0.0012290627634612846,1215.0,0.05373134328358209
Keith Knisley,L Scott Rodkey,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.015422108830585278,152.0,0.0007719733059756828,1215.0,0.05373134328358209
Keith Knisley,Julian L. Leibowitzatb,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.015422108830585278,164.0,0.0008329185669737631,1215.0,0.05373134328358209
L Scott Rodkey,Julian L. Leibowitzatb,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.015422108830585278,208.0,0.001056384523966724,1215.0,0.05373134328358209
Julian L. Leibowitzatb,Emma L. Oleszak,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.015422108830585278,316.0,0.001604891872949446,1215.0,0.05373134328358209
Emilia L. Oleszaka,Emma L. Oleszak,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.015422108830585278,220.0,0.0011173297849648041,1215.0,0.05373134328358209
Keith Knisley,Emma L. Oleszak,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.015422108830585278,190.0,0.0009649666324696036,1215.0,0.05373134328358209
Tsutomu Hohdatsu,Takahiro Tatekawa,0.35295612386476116,1.0,54.0,28.0,,1,0.010533557677365005,517.0,0.039373976619321426,1119.0,0.005683145588070981,1118.5,0.049463792150359315
Martin Meier-Schellersheim,Iain D C Fraser,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,776.25,0.0591180838505769,2637.0,0.01339272110432813,4657.5,0.20597014925373136
Johanna Nokso-Koivisto,Tasnee Chonmaitree,3.4592826638065475,5.0,264.0,30.0,,1,0.10323819590527047,2757.375,0.2099977152431362,7275.0,0.03694806448008614,5097.625,0.22543394140409068
Walid S. Maaty,Kyla Selvig,5.324340220853865,15.0,256.0,17.0,1.0,1,0.1588986307877967,1215.0,0.09253265298351167,469.0,0.002381943950674969,7290.0,0.32238805970149254
Kyla Selvig,Pavel Tarlykov,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.09253265298351167,1651.0,0.008385052158985872,7290.0,0.32238805970149254
Walid S. Maaty,Pavel Tarlykov,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.09253265298351167,2285.0,0.011604993448384443,7290.0,0.32238805970149254
Stephanie Ryder,Pavel Tarlykov,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.09253265298351167,407.0,0.0020670601021848876,7290.0,0.32238805970149254
