author1,author2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,jaccard_similarity,label,adamic_adar_normalized,pyramid_match,pyramid_match_normalized,propagation,propagation_normalized,weisfeiler_pyramid_match,weisfeiler_pyramid_match_normalized
E Cornelissen,H L. Dewerchin,1.8204784532536746,2.0,9.0,4.0,1.0,1,0.07359237507957139,607.5,0.05028036996420369,3720.0,0.025076510320467017,3645.0,0.17056222362602652
E Van Hamme,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.07359237507957139,607.5,0.05028036996420369,2658.0,0.01791757108381756,3645.0,0.17056222362602652
E Cornelissen,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.07359237507957139,607.5,0.05028036996420369,3022.0,0.020371294136680464,3645.0,0.17056222362602652
Yu-Tsung Huang,Po-Ren Hsueh,1.1777856130458912,2.0,195.0,66.0,,1,0.04761168166735687,1635.875,0.1353948974735666,3150.0,0.021234141803621265,2430.0,0.11370814908401769
Mi-Na Kim,Heungsup Sung,8.753657514515655,25.0,884.0,35.0,0.7142857142857143,1,0.3538643624015353,5830.0,0.4825260195741687,5538.0,0.03733164358998557,11147.25,0.5216185863690601
Heungsup Sung,Sang-Ho Choi,6.90634260370537,22.0,598.0,27.0,,1,0.2791871304005412,3907.625,0.32341865132736036,7577.0,0.05107653728445661,7477.5,0.34989822418754823
T D&apos;escrivan,H Georges,4.51019598729719,9.0,100.0,11.0,1.0,1,0.18232351730740412,2205.0,0.18249912061081336,13688.0,0.09227077238348186,13230.0,0.6190777005685407
H Georges,L Legout,2.3307864731701917,5.0,60.0,11.0,,1,0.09422144604753008,2205.0,0.18249912061081336,10828.0,0.07299151982527335,13230.0,0.6190777005685407
B Guery,O Leroy,4.598514212939248,9.0,180.0,19.0,,1,0.1858937589525036,2163.0,0.17902294688489312,66983.0,0.45153222870855975,4570.0,0.21384618984113613
L Legout,O Leroy,2.3307864731701917,5.0,60.0,11.0,,1,0.09422144604753008,2205.0,0.18249912061081336,22854.0,0.15405875453332074,13230.0,0.6190777005685407
H Georges,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.09422144604753008,2205.0,0.18249912061081336,12130.0,0.0817682984374368,13230.0,0.6190777005685407
H Georges,K Faure,2.3307864731701917,5.0,60.0,11.0,,1,0.09422144604753008,2205.0,0.18249912061081336,6796.0,0.04581181831663813,13230.0,0.6190777005685407
O Leroy,K Faure,2.3307864731701917,5.0,60.0,11.0,,1,0.09422144604753008,2205.0,0.18249912061081336,10356.0,0.06980976905342914,13230.0,0.6190777005685407
B Guery,K Faure,2.4191046988122498,5.0,108.0,19.0,,1,0.09779168769262955,2163.0,0.17902294688489312,75495.0,0.5089115985601229,4570.0,0.21384618984113613
L Legout,K Faure,2.206970328522196,5.0,36.0,7.0,,1,0.0892162101209217,2205.0,0.18249912061081336,15170.0,0.10226093052728082,13230.0,0.6190777005685407
Keith Knisley,L Scott Rodkey,2.164042561333445,3.0,16.0,5.0,,1,0.08748086613009508,202.5,0.016760123321401227,260.0,0.0017526593234735012,1215.0,0.056854074542008845
Keith Knisley,Julian L. Leibowitzatb,2.164042561333445,3.0,16.0,5.0,,1,0.08748086613009508,202.5,0.016760123321401227,178.0,0.0011998975368395508,1215.0,0.056854074542008845
Keith Knisley,Emma L. Oleszak,2.164042561333445,3.0,16.0,5.0,,1,0.08748086613009508,202.5,0.016760123321401227,154.0,0.0010381135992881506,1215.0,0.056854074542008845
Tsutomu Hohdatsu,Hiroyuki Koyama,9.311175157313597,16.0,459.0,28.0,,1,0.37640187027971694,2733.875,0.22627201059405325,3918.0,0.026411227805266068,4440.875,0.2078039821248918
Martin Meier-Schellersheim,Aleksandra Nita-Lazar,1.8204784532536746,2.0,9.0,4.0,1.0,1,0.07359237507957139,776.25,0.0642471393987047,3915.0,0.026391004813072143,4657.5,0.21794061907770057
Ronald N. Germain,Aleksandra Nita-Lazar,1.8204784532536746,2.0,9.0,4.0,,1,0.07359237507957139,697.75,0.057750005172877567,11821.0,0.07968533024146253,1673.5,0.07830888374160641
Ronald N. Germain,Iain D C Fraser,1.8204784532536746,2.0,9.0,4.0,,1,0.07359237507957139,697.75,0.057750005172877567,6727.0,0.04534668949617786,1673.5,0.07830888374160641
Aleksandra Nita-Lazar,Iain D C Fraser,1.8204784532536746,2.0,9.0,4.0,,1,0.07359237507957139,776.25,0.0642471393987047,1103.0,0.00743532012996643,4657.5,0.21794061907770057
Kyla Selvig,Stephanie Ryder,5.324340220853865,15.0,256.0,17.0,,1,0.21523508937115993,1215.0,0.10056073992840737,991.0,0.0066803284213932295,7290.0,0.34112444725205304
Kyla Selvig,Pavel Tarlykov,5.324340220853865,15.0,256.0,17.0,,1,0.21523508937115993,1215.0,0.10056073992840737,1407.0,0.00948458333895083,7290.0,0.34112444725205304
Walid S. Maaty,Pavel Tarlykov,5.324340220853865,15.0,256.0,17.0,,1,0.21523508937115993,1215.0,0.10056073992840737,319.0,0.0021503781699540266,7290.0,0.34112444725205304
Stephanie Ryder,Pavel Tarlykov,5.324340220853865,15.0,256.0,17.0,,1,0.21523508937115993,1215.0,0.10056073992840737,347.0,0.0023391260970973267,7290.0,0.34112444725205304
Pavel Tarlykov,Jonathan K. Hilmer,5.324340220853865,15.0,256.0,17.0,,1,0.21523508937115993,1215.0,0.10056073992840737,321.0,0.0021638601647499763,7290.0,0.34112444725205304
Kyla Selvig,Jonathan K. Hilmer,5.324340220853865,15.0,256.0,17.0,,1,0.21523508937115993,1215.0,0.10056073992840737,371.0,0.002500910034648727,7290.0,0.34112444725205304
