author1,author2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,jaccard_similarity,label,adamic_adar_normalized,pyramid_match,pyramid_match_normalized,propagation,propagation_normalized,weisfeiler_pyramid_match,weisfeiler_pyramid_match_normalized
E Cornelissen,H L. Dewerchin,1.8204784532536746,2.0,9.0,4.0,1.0,1,0.05433002430380084,607.5,0.046266326491755834,5766.0,0.010819147978023958,3645.0,0.16119402985074627
H L. Dewerchin,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.046266326491755834,3970.0,0.007449187907172236,3645.0,0.16119402985074627
Mi-Na Kim,Heungsup Sung,8.753657514515655,25.0,884.0,35.0,0.7142857142857143,1,0.2612425456949442,5830.0,0.44400441719660333,27060.0,0.05077456543276592,11147.25,0.4929684908789387
Mi-Na Kim,Sang-Ho Choi,6.929691788084171,22.0,782.0,35.0,,1,0.20680844785148364,3600.625,0.27421842275617836,5249.0,0.00984906481731664,6113.625,0.2703648424543947
Heungsup Sung,Sang-Ho Choi,6.90634260370537,22.0,598.0,27.0,,1,0.20611161908511896,3907.625,0.2975991013289669,5514.0,0.010346302801044763,7477.5,0.3306799336650083
B Guery,T D&apos;escrivan,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.16473096987928867,28694.0,0.053840553604131015,4570.0,0.20210060807075733
T D&apos;escrivan,L Legout,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.16792962948859524,32048.0,0.06013389774535411,13230.0,0.5850746268656717
H Georges,L Legout,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.16792962948859524,19344.0,0.03629649644240296,13230.0,0.5850746268656717
T D&apos;escrivan,O Leroy,4.51019598729719,9.0,100.0,11.0,,1,0.13460145994412184,2205.0,0.16792962948859524,16352.0,0.030682398150649975,13230.0,0.5850746268656717
H Georges,O Leroy,4.51019598729719,9.0,100.0,11.0,,1,0.13460145994412184,2205.0,0.16792962948859524,15588.0,0.02924885166171305,13230.0,0.5850746268656717
L Legout,O Leroy,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.16792962948859524,17838.0,0.033470683599027294,13230.0,0.5850746268656717
L Legout,N Viget,2.206970328522196,5.0,36.0,7.0,1.0,1,0.06586441678124609,2205.0,0.16792962948859524,38196.0,0.07166981896784654,13230.0,0.5850746268656717
H Georges,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.16792962948859524,14442.0,0.027098531928307665,13230.0,0.5850746268656717
Keith Knisley,Julian L. Leibowitzatb,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.015422108830585278,168.0,0.0003152301179861299,1215.0,0.05373134328358209
Emilia L. Oleszaka,Julian L. Leibowitzatb,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.015422108830585278,250.0,0.00046909243747936,1215.0,0.05373134328358209
L Scott Rodkey,Julian L. Leibowitzatb,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.015422108830585278,188.0,0.00035275751298447866,1215.0,0.05373134328358209
L Scott Rodkey,Emma L. Oleszak,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.015422108830585278,146.0,0.0002739499834879462,1215.0,0.05373134328358209
