author1,author2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,jaccard_similarity,label,adamic_adar_normalized,pyramid_match,pyramid_match_normalized,propagation,propagation_normalized,weisfeiler_pyramid_match,weisfeiler_pyramid_match_normalized
E Cornelissen,H L. Dewerchin,1.8204784532536746,2.0,9.0,4.0,1.0,1,0.05433002430380084,607.5,0.05028036996420369,5888.0,0.02388350302194459,3645.0,0.16119402985074627
E Cornelissen,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05028036996420369,1370.0,0.005557133006125015,3645.0,0.16119402985074627
E Cornelissen,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05028036996420369,2128.0,0.008631809516083236,3645.0,0.16119402985074627
H L. Dewerchin,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05028036996420369,5260.0,0.021336145702348597,3645.0,0.16119402985074627
Mi-Na Kim,Heungsup Sung,8.753657514515655,25.0,884.0,35.0,0.7142857142857143,1,0.2612425456949442,5830.0,0.4825260195741687,29082.0,0.11796535918549467,11147.25,0.4929684908789387
Mi-Na Kim,Sang-Ho Choi,6.929691788084171,22.0,782.0,35.0,,1,0.20680844785148364,3600.625,0.2980094767117052,29410.0,0.11929582606579321,6113.625,0.2703648424543947
B Guery,T D&apos;escrivan,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.17902294688489312,80676.0,0.3272461769358699,4570.0,0.20210060807075733
B Guery,H Georges,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.17902294688489312,48177.0,0.19542043564677727,4570.0,0.20210060807075733
T D&apos;escrivan,L Legout,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,21958.0,0.08906826755364458,13230.0,0.5850746268656717
H Georges,L Legout,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,22356.0,0.09068267553644586,13230.0,0.5850746268656717
B Guery,O Leroy,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.17902294688489312,39520.0,0.16030503387011721,4570.0,0.20210060807075733
L Legout,O Leroy,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,20354.0,0.08256196000486755,13230.0,0.5850746268656717
T D&apos;escrivan,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,16090.0,0.06526589056098649,13230.0,0.5850746268656717
N Viget,K Faure,2.206970328522196,5.0,36.0,7.0,,1,0.06586441678124609,2205.0,0.18249912061081336,15308.0,0.06209386281588448,13230.0,0.5850746268656717
