author1,author2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,jaccard_similarity,label,adamic_adar_normalized,pyramid_match,pyramid_match_normalized,propagation,propagation_normalized,weisfeiler_pyramid_match,weisfeiler_pyramid_match_normalized
E Cornelissen,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.11256805804847798,607.5,0.05278248403492767,4288.0,0.02370514514425974,3645.0,0.16119402985074627
H L. Dewerchin,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.11256805804847798,607.5,0.05278248403492767,3148.0,0.017402937713183225,3645.0,0.16119402985074627
E Van Hamme,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.11256805804847798,607.5,0.05278248403492767,2898.0,0.016020874680052408,3645.0,0.16119402985074627
H L. Dewerchin,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.11256805804847798,607.5,0.05278248403492767,3676.0,0.020321854839155506,3645.0,0.16119402985074627
Mi-Na Kim,Sang-Ho Choi,6.929691788084171,22.0,782.0,35.0,,1,0.4284928207004834,3600.625,0.3128393935444633,3979.0,0.02199691523531005,6113.625,0.2703648424543947
B Guery,T D&apos;escrivan,4.598514212939248,9.0,180.0,19.0,,1,0.2843460266908004,2163.0,0.1879317085885573,116375.0,0.6433503419223944,4570.0,0.20210060807075733
B Guery,H Georges,4.598514212939248,9.0,180.0,19.0,,1,0.2843460266908004,2163.0,0.1879317085885573,33866.0,0.18721978672003273,4570.0,0.20210060807075733
T D&apos;escrivan,H Georges,4.51019598729719,9.0,100.0,11.0,1.0,1,0.27888492873984955,2205.0,0.19158086797862636,24092.0,0.13318665037675037,13230.0,0.5850746268656717
B Guery,O Leroy,4.598514212939248,9.0,180.0,19.0,,1,0.2843460266908004,2163.0,0.1879317085885573,59178.0,0.3271509046984615,4570.0,0.20210060807075733
H Georges,O Leroy,4.51019598729719,9.0,100.0,11.0,,1,0.27888492873984955,2205.0,0.19158086797862636,30176.0,0.1668205363510219,13230.0,0.5850746268656717
L Legout,N Viget,2.206970328522196,5.0,36.0,7.0,1.0,1,0.1364665226376821,2205.0,0.19158086797862636,24696.0,0.13652571466479443,13230.0,0.5850746268656717
T D&apos;escrivan,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.14412261048270103,2205.0,0.19158086797862636,28540.0,0.15777631586221386,13230.0,0.5850746268656717
O Leroy,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.14412261048270103,2205.0,0.19158086797862636,18500.0,0.10227266445168032,13230.0,0.5850746268656717
H Georges,K Faure,2.3307864731701917,5.0,60.0,11.0,,1,0.14412261048270103,2205.0,0.19158086797862636,30230.0,0.16711906196617815,13230.0,0.5850746268656717
N Viget,K Faure,2.206970328522196,5.0,36.0,7.0,,1,0.1364665226376821,2205.0,0.19158086797862636,13392.0,0.0740343525587515,13230.0,0.5850746268656717
L Legout,K Faure,2.206970328522196,5.0,36.0,7.0,,1,0.1364665226376821,2205.0,0.19158086797862636,13422.0,0.0742002001227272,13230.0,0.5850746268656717
Keith Knisley,Julian L. Leibowitzatb,2.164042561333445,3.0,16.0,5.0,,1,0.13381211308937996,202.5,0.017594161344975892,272.0,0.0015036845800463269,1215.0,0.05373134328358209
Julian L. Leibowitzatb,Emma L. Oleszak,2.164042561333445,3.0,16.0,5.0,,1,0.13381211308937996,202.5,0.017594161344975892,228.0,0.0012604414862153034,1215.0,0.05373134328358209
