author1,author2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,jaccard_similarity,label,adamic_adar_normalized,pyramid_match,pyramid_match_normalized,propagation,propagation_normalized,weisfeiler_pyramid_match,weisfeiler_pyramid_match_normalized
E Cornelissen,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05028036996420369,4926.0,0.00805843428188161,3645.0,0.16119402985074627
H L. Dewerchin,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05028036996420369,2494.0,0.004079929983559223,3645.0,0.16119402985074627
E Van Hamme,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05028036996420369,3592.0,0.00587614615114063,3645.0,0.16119402985074627
H L. Dewerchin,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05028036996420369,4494.0,0.0073517262815217125,3645.0,0.16119402985074627
Koussay Dellagi,Hervé Pascalis,6.083969133528182,18.0,361.0,20.0,0.6,1,0.1815688564165065,5691.0,0.4710215398621945,7286.0,0.011919153913477346,13756.5,0.6083582089552239
Mi-Na Kim,Sang-Ho Choi,6.929691788084171,22.0,782.0,35.0,,1,0.20680844785148364,3600.625,0.2980094767117052,3897.0,0.00637509508657991,6113.625,0.2703648424543947
Heungsup Sung,Sang-Ho Choi,6.90634260370537,22.0,598.0,27.0,,1,0.20611161908511896,3907.625,0.32341865132736036,6823.0,0.01116173307049903,7477.5,0.3306799336650083
B Guery,H Georges,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.17902294688489312,44340.0,0.07253572392582838,4570.0,0.20210060807075733
T D&apos;escrivan,H Georges,4.51019598729719,9.0,100.0,11.0,1.0,1,0.13460145994412184,2205.0,0.18249912061081336,16862.0,0.027584514588121743,13230.0,0.5850746268656717
T D&apos;escrivan,L Legout,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,17420.0,0.028497345755253277,13230.0,0.5850746268656717
