author1,author2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,jaccard_similarity,label,adamic_adar_normalized,pyramid_match,pyramid_match_normalized,propagation,propagation_normalized,weisfeiler_pyramid_match,weisfeiler_pyramid_match_normalized
E Cornelissen,H L. Dewerchin,1.8204784532536746,2.0,9.0,4.0,1.0,1,0.05433002430380084,607.5,0.05028036996420369,2570.0,0.014007663336440091,3645.0,0.16119402985074627
E Van Hamme,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05028036996420369,2536.0,0.013822347945996915,3645.0,0.16119402985074627
E Cornelissen,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05028036996420369,4840.0,0.026380190874852154,3645.0,0.16119402985074627
H L. Dewerchin,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05028036996420369,5952.0,0.03244109423287604,3645.0,0.16119402985074627
Yu-Tsung Huang,Po-Ren Hsueh,1.1777856130458912,2.0,195.0,66.0,,1,0.03514961732564581,1635.875,0.1353948974735666,3950.0,0.021529288007369012,2430.0,0.10746268656716418
Mi-Na Kim,Heungsup Sung,8.753657514515655,25.0,884.0,35.0,0.7142857142857143,1,0.2612425456949442,5830.0,0.4825260195741687,13231.0,0.07211493914569604,11147.25,0.4929684908789387
B Guery,T D&apos;escrivan,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.17902294688489312,27613.0,0.15050334930315962,4570.0,0.20210060807075733
B Guery,H Georges,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.17902294688489312,46216.0,0.2518981201388775,4570.0,0.20210060807075733
T D&apos;escrivan,L Legout,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,30898.0,0.1684080862915665,13230.0,0.5850746268656717
B Guery,O Leroy,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.17902294688489312,26264.0,0.1431506886646936,4570.0,0.20210060807075733
L Legout,O Leroy,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,17814.0,0.09709436368690419,13230.0,0.5850746268656717
H Georges,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,10346.0,0.05639038322132653,13230.0,0.5850746268656717
Emilia L. Oleszaka,Keith Knisley,2.164042561333445,3.0,16.0,5.0,1.0,1,0.06458328838859503,202.5,0.016760123321401227,158.0,0.0008611715202947604,1215.0,0.05373134328358209
Emilia L. Oleszaka,L Scott Rodkey,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.016760123321401227,174.0,0.0009483787628562552,1215.0,0.05373134328358209
Keith Knisley,Julian L. Leibowitzatb,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.016760123321401227,320.0,0.0017441448512298945,1215.0,0.05373134328358209
L Scott Rodkey,Julian L. Leibowitzatb,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.016760123321401227,226.0,0.001231802301181113,1215.0,0.05373134328358209
