author1,author2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,jaccard_similarity,label,adamic_adar_normalized,pyramid_match,pyramid_match_normalized,propagation,propagation_normalized,weisfeiler_pyramid_match,weisfeiler_pyramid_match_normalized
E Cornelissen,H L. Dewerchin,1.8204784532536746,2.0,9.0,4.0,1.0,1,0.05433002430380084,607.5,0.05028036996420369,5386.0,0.03905955385374061,3645.0,0.17056222362602652
E Van Hamme,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05028036996420369,2982.0,0.021625620050474283,3645.0,0.17056222362602652
E Cornelissen,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05028036996420369,3128.0,0.02268441969077249,3645.0,0.17056222362602652
Yu-Tsung Huang,Po-Ren Hsueh,1.1777856130458912,2.0,195.0,66.0,,1,0.03514961732564581,1635.875,0.1353948974735666,7612.0,0.055202622342122816,2430.0,0.11370814908401769
Koussay Dellagi,Hervé Pascalis,6.083969133528182,18.0,361.0,20.0,0.6,1,0.1815688564165065,5691.0,0.4710215398621945,21972.0,0.15934209381254894,13756.5,0.6437144662034112
T D&apos;escrivan,H Georges,4.51019598729719,9.0,100.0,11.0,1.0,1,0.13460145994412184,2205.0,0.18249912061081336,43490.0,0.3153917558669103,13230.0,0.6190777005685407
H Georges,L Legout,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,16282.0,0.11807791605024222,13230.0,0.6190777005685407
B Guery,O Leroy,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.17902294688489312,62649.0,0.4543338264728918,4570.0,0.21384618984113613
L Legout,O Leroy,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,21820.0,0.15823978185826587,13230.0,0.6190777005685407
T D&apos;escrivan,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,26376.0,0.1912801322774345,13230.0,0.6190777005685407
H Georges,K Faure,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,28328.0,0.20543613842717487,13230.0,0.6190777005685407
O Leroy,K Faure,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,12566.0,0.09112928958895367,13230.0,0.6190777005685407
T D&apos;escrivan,K Faure,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,22920.0,0.16621703942215646,13230.0,0.6190777005685407
N Viget,K Faure,2.206970328522196,5.0,36.0,7.0,,1,0.06586441678124609,2205.0,0.18249912061081336,25210.0,0.18282423925971047,13230.0,0.6190777005685407
B Guery,K Faure,2.4191046988122498,5.0,108.0,19.0,,1,0.07219531593192344,2163.0,0.17902294688489312,61072.0,0.44289733994720504,4570.0,0.21384618984113613
Emilia L. Oleszaka,Keith Knisley,2.164042561333445,3.0,16.0,5.0,1.0,1,0.06458328838859503,202.5,0.016760123321401227,240.0,0.0017404925593943084,1215.0,0.056854074542008845
L Scott Rodkey,Julian L. Leibowitzatb,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.016760123321401227,252.0,0.001827517187364024,1215.0,0.056854074542008845
Julian L. Leibowitzatb,Emma L. Oleszak,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.016760123321401227,238.0,0.0017259884547326894,1215.0,0.056854074542008845
Emilia L. Oleszaka,Emma L. Oleszak,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.016760123321401227,224.0,0.0016244597221013546,1215.0,0.056854074542008845
Keith Knisley,Emma L. Oleszak,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.016760123321401227,234.0,0.0016969802454094508,1215.0,0.056854074542008845
Tsutomu Hohdatsu,Takahiro Tatekawa,0.35295612386476116,1.0,54.0,28.0,,1,0.010533557677365005,517.0,0.04279004324525647,1549.0,0.0112334290604241,1118.5,0.05233850401254065
Tsutomu Hohdatsu,Hiroyuki Koyama,9.311175157313597,16.0,459.0,28.0,,1,0.27788099973919494,2733.875,0.22627201059405325,16219.0,0.1176210367534012,4440.875,0.2078039821248918
Ronald N. Germain,Martin Meier-Schellersheim,1.8204784532536746,2.0,9.0,4.0,0.5,1,0.05433002430380084,697.75,0.057750005172877567,9238.0,0.06699445943201926,1673.5,0.07830888374160641
Johanna Nokso-Koivisto,Tasnee Chonmaitree,3.4592826638065475,5.0,264.0,30.0,,1,0.10323819590527047,2757.375,0.22821701255974672,5116.0,0.03710149972442201,5097.625,0.2385355981376196
Walid S. Maaty,Kyla Selvig,5.324340220853865,15.0,256.0,17.0,1.0,1,0.1588986307877967,1215.0,0.10056073992840737,1377.0,0.009986076059524845,7290.0,0.34112444725205304
Walid S. Maaty,Stephanie Ryder,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,623.0,0.004518028602094393,7290.0,0.34112444725205304
Pavel Tarlykov,Jonathan K. Hilmer,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,569.0,0.004126417776230673,7290.0,0.34112444725205304
Kyla Selvig,Jonathan K. Hilmer,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,469.0,0.0034012125431497112,7290.0,0.34112444725205304
Jonathan K. Hilmer,Joshua Heinemann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,991.0,0.0071867838598323325,7290.0,0.34112444725205304
Walid S. Maaty,Joshua Heinemann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,741.0,0.005373770777129927,7290.0,0.34112444725205304
Walid S. Maaty,Joseph Steffens,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,433.0,0.0031401386592405647,7290.0,0.34112444725205304
Kyla Selvig,Joseph Steffens,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,601.0,0.004358483450816581,7290.0,0.34112444725205304
Walid S. Maaty,Jamie C. Snyder,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,493.0,0.0035752617990891422,7290.0,0.34112444725205304
Kyla Selvig,Jamie C. Snyder,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,815.0,0.005910422649609839,7290.0,0.34112444725205304
Joseph Steffens,Jamie C. Snyder,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,479.0,0.0034737330664578073,7290.0,0.34112444725205304
Kyla Selvig,Alice C. Ortmann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,541.0,0.003923360310968004,7290.0,0.34112444725205304
Jamie C. Snyder,Alice C. Ortmann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,1271.0,0.009217358512459025,7290.0,0.34112444725205304
Joseph Steffens,Alice C. Ortmann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,1085.0,0.007868476778928437,7290.0,0.34112444725205304
Stephanie Ryder,Alice C. Ortmann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,775.0,0.005620340556377454,7290.0,0.34112444725205304
Walid S. Maaty,Navid Movahed,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,2031.0,0.014728918283874336,7290.0,0.34112444725205304
Joshua Heinemann,Navid Movahed,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,649.0,0.004706581962695443,7290.0,0.34112444725205304
Jonathan K. Hilmer,Navid Movahed,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,517.0,0.003749311055028573,7290.0,0.34112444725205304
Stephanie Ryder,Kevin Spicka,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,919.0,0.0066646360920140394,7290.0,0.34112444725205304
Jonathan K. Hilmer,Kevin Spicka,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,507.0,0.0036767905317204768,7290.0,0.34112444725205304
