author1,author2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,jaccard_similarity,label,adamic_adar_normalized,pyramid_match,pyramid_match_normalized,propagation,propagation_normalized,weisfeiler_pyramid_match,weisfeiler_pyramid_match_normalized
H L. Dewerchin,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.028041427458673513,2612.0,0.002538492862189576,3645.0,0.060066740823136816
E Van Hamme,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.028041427458673513,5196.0,0.005049773702885543,3645.0,0.060066740823136816
E Cornelissen,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.028041427458673513,4746.0,0.004612437643166818,3645.0,0.060066740823136816
Koussay Dellagi,Hervé Pascalis,6.083969133528182,18.0,361.0,20.0,0.6,1,0.1815688564165065,5691.0,0.26268932290915387,18873.0,0.01834187434460332,13756.5,0.22669632925472746
Mi-Na Kim,Sang-Ho Choi,6.929691788084171,22.0,782.0,35.0,,1,0.20680844785148364,3600.625,0.16620027118252892,10956.0,0.01064767526728522,6113.625,0.1007477444073662
Heungsup Sung,Sang-Ho Choi,6.90634260370537,22.0,598.0,27.0,,1,0.20611161908511896,3907.625,0.18037100077892854,9575.0,0.009305539492903978,7477.5,0.12322333456927449
B Guery,T D&apos;escrivan,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.09984132937137581,85434.0,0.08302970872446563,4570.0,0.07531001524327441
B Guery,H Georges,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.09984132937137581,22720.0,0.022080611726243173,4570.0,0.07531001524327441
T D&apos;escrivan,H Georges,4.51019598729719,9.0,100.0,11.0,1.0,1,0.13460145994412184,2205.0,0.10177999596111127,13594.0,0.013211436435147434,13230.0,0.21802002224694103
H Georges,L Legout,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.10177999596111127,30708.0,0.029843812715205784,13230.0,0.21802002224694103
T D&apos;escrivan,O Leroy,4.51019598729719,9.0,100.0,11.0,,1,0.13460145994412184,2205.0,0.10177999596111127,18142.0,0.017631446212038014,13230.0,0.21802002224694103
L Legout,O Leroy,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.10177999596111127,14302.0,0.013899511835771561,13230.0,0.21802002224694103
L Legout,N Viget,2.206970328522196,5.0,36.0,7.0,1.0,1,0.06586441678124609,2205.0,0.10177999596111127,11244.0,0.010927570345505205,13230.0,0.21802002224694103
T D&apos;escrivan,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.10177999596111127,35828.0,0.03481972521689439,13230.0,0.21802002224694103
H Georges,K Faure,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.10177999596111127,21944.0,0.021326449987705994,13230.0,0.21802002224694103
O Leroy,K Faure,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.10177999596111127,9964.0,0.009683592220083054,13230.0,0.21802002224694103
N Viget,K Faure,2.206970328522196,5.0,36.0,7.0,,1,0.06586441678124609,2205.0,0.10177999596111127,13710.0,0.013324171952763817,13230.0,0.21802002224694103
Keith Knisley,L Scott Rodkey,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.009347142486224504,198.0,0.00019242786627623893,1215.0,0.020022246941045603
Emilia L. Oleszaka,L Scott Rodkey,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.009347142486224504,212.0,0.0002060338770230437,1215.0,0.020022246941045603
Keith Knisley,Julian L. Leibowitzatb,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.009347142486224504,158.0,0.00015355354985679672,1215.0,0.020022246941045603
Emilia L. Oleszaka,Emma L. Oleszak,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.009347142486224504,196.0,0.00019048415045526683,1215.0,0.020022246941045603
Keith Knisley,Emma L. Oleszak,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.009347142486224504,216.0,0.00020992130866498792,1215.0,0.020022246941045603
Tsutomu Hohdatsu,Takahiro Tatekawa,0.35295612386476116,1.0,54.0,28.0,,1,0.010533557677365005,517.0,0.02386406254507688,4572.0,0.004443334366742244,1118.5,0.018432002636674494
Tsutomu Hohdatsu,Hiroyuki Koyama,9.311175157313597,16.0,459.0,28.0,,1,0.27788099973919494,2733.875,0.12619219340507168,7824.0,0.007603816291642896,4440.875,0.07318213653030115
Ronald N. Germain,Martin Meier-Schellersheim,1.8204784532536746,2.0,9.0,4.0,0.5,1,0.05433002430380084,697.75,0.032207252690188384,3190.0,0.0031002267344505162,1673.5,0.02757796728875705
Martin Meier-Schellersheim,Aleksandra Nita-Lazar,1.8204784532536746,2.0,9.0,4.0,1.0,1,0.05433002430380084,776.25,0.0358307128638606,2933.0,0.0028504592514556,4657.5,0.07675194660734148
Ronald N. Germain,Aleksandra Nita-Lazar,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,697.75,0.032207252690188384,8724.0,0.008478488411080346,1673.5,0.02757796728875705
Tal Marom,Tasnee Chonmaitree,0.4170323914242463,1.0,48.0,25.0,,1,0.012445838027391526,2341.75,0.10809220205983325,6529.0,0.006345260297563454,3830.5,0.063123635314959
Kyla Selvig,Stephanie Ryder,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.056082854917347026,409.0,0.00039748988538879657,7290.0,0.12013348164627363
Kyla Selvig,Pavel Tarlykov,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.056082854917347026,723.0,0.0007026532692814179,7290.0,0.12013348164627363
Walid S. Maaty,Pavel Tarlykov,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.056082854917347026,1871.0,0.0018183461505194092,7290.0,0.12013348164627363
Kyla Selvig,Jonathan K. Hilmer,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.056082854917347026,461.0,0.00044802649673407143,7290.0,0.12013348164627363
Walid S. Maaty,Joshua Heinemann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.056082854917347026,699.0,0.0006793286794297526,7290.0,0.12013348164627363
Kyla Selvig,Joseph Steffens,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.056082854917347026,375.0,0.0003644467164322707,7290.0,0.12013348164627363
Jonathan K. Hilmer,Joseph Steffens,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.056082854917347026,1515.0,0.0014723647343863736,7290.0,0.12013348164627363
Walid S. Maaty,Jamie C. Snyder,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.056082854917347026,339.0,0.0003294598316547727,7290.0,0.12013348164627363
Joseph Steffens,Jamie C. Snyder,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.056082854917347026,299.0,0.0002905855152353305,7290.0,0.12013348164627363
Pavel Tarlykov,Jamie C. Snyder,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.056082854917347026,607.0,0.0005899177516650355,7290.0,0.12013348164627363
Stephanie Ryder,Jamie C. Snyder,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.056082854917347026,1603.0,0.0015578882305091464,7290.0,0.12013348164627363
Kyla Selvig,Alice C. Ortmann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.056082854917347026,2487.0,0.0024170106233788193,7290.0,0.12013348164627363
Jamie C. Snyder,Alice C. Ortmann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.056082854917347026,1321.0,0.0012838242997520789,7290.0,0.12013348164627363
Joshua Heinemann,Alice C. Ortmann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.056082854917347026,657.0,0.0006385106471893383,7290.0,0.12013348164627363
