author1,author2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,jaccard_similarity,label,adamic_adar_normalized,pyramid_match,pyramid_match_normalized,propagation,propagation_normalized,weisfeiler_pyramid_match,weisfeiler_pyramid_match_normalized
E Cornelissen,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.046266326491755834,4172.0,0.010889822766307327,3645.0,0.16119402985074627
H L. Dewerchin,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.046266326491755834,7128.0,0.018605622406097467,3645.0,0.16119402985074627
Koussay Dellagi,Hervé Pascalis,6.083969133528182,18.0,361.0,20.0,0.6,1,0.1815688564165065,5691.0,0.4334183770610411,34659.0,0.09046748975490068,13756.5,0.6083582089552239
Heungsup Sung,Sang-Ho Choi,6.90634260370537,22.0,598.0,27.0,,1,0.20611161908511896,3907.625,0.2975991013289669,6315.0,0.016483516483516484,7477.5,0.3306799336650083
T D&apos;escrivan,H Georges,4.51019598729719,9.0,100.0,11.0,1.0,1,0.13460145994412184,2205.0,0.16792962948859524,20636.0,0.05386442536086242,13230.0,0.5850746268656717
T D&apos;escrivan,L Legout,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.16792962948859524,11288.0,0.02946412257576153,13230.0,0.5850746268656717
T D&apos;escrivan,O Leroy,4.51019598729719,9.0,100.0,11.0,,1,0.13460145994412184,2205.0,0.16792962948859524,18494.0,0.048273341860040196,13230.0,0.5850746268656717
B Guery,O Leroy,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.16473096987928867,56784.0,0.1482185273159145,4570.0,0.20210060807075733
H Georges,O Leroy,4.51019598729719,9.0,100.0,11.0,,1,0.13460145994412184,2205.0,0.16792962948859524,20386.0,0.0532118712641278,13230.0,0.5850746268656717
L Legout,N Viget,2.206970328522196,5.0,36.0,7.0,1.0,1,0.06586441678124609,2205.0,0.16792962948859524,20596.0,0.053760016705384876,13230.0,0.5850746268656717
B Guery,N Viget,2.4191046988122498,5.0,108.0,19.0,,1,0.07219531593192344,2163.0,0.16473096987928867,52069.0,0.13591135705149957,4570.0,0.20210060807075733
T D&apos;escrivan,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.16792962948859524,11650.0,0.030409020907833262,13230.0,0.5850746268656717
H Georges,K Faure,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.16792962948859524,10238.0,0.02672339536947613,13230.0,0.5850746268656717
O Leroy,K Faure,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.16792962948859524,26698.0,0.06968755709848347,13230.0,0.5850746268656717
T D&apos;escrivan,K Faure,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.16792962948859524,18826.0,0.04913993370050378,13230.0,0.5850746268656717
N Viget,K Faure,2.206970328522196,5.0,36.0,7.0,,1,0.06586441678124609,2205.0,0.16792962948859524,23926.0,0.06245203727389001,13230.0,0.5850746268656717
L Legout,K Faure,2.206970328522196,5.0,36.0,7.0,,1,0.06586441678124609,2205.0,0.16792962948859524,38118.0,0.09949622823732088,13230.0,0.5850746268656717
Emilia L. Oleszaka,Keith Knisley,2.164042561333445,3.0,16.0,5.0,1.0,1,0.06458328838859503,202.5,0.015422108830585278,312.0,0.000814387512724805,1215.0,0.05373134328358209
Keith Knisley,L Scott Rodkey,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.015422108830585278,188.0,0.0004907206807444337,1215.0,0.05373134328358209
Emilia L. Oleszaka,L Scott Rodkey,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.015422108830585278,284.0,0.0007413014538905276,1215.0,0.05373134328358209
Keith Knisley,Julian L. Leibowitzatb,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.015422108830585278,188.0,0.0004907206807444337,1215.0,0.05373134328358209
L Scott Rodkey,Julian L. Leibowitzatb,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.015422108830585278,346.0,0.0009031348698807131,1215.0,0.05373134328358209
Emilia L. Oleszaka,Emma L. Oleszak,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.015422108830585278,306.0,0.0007987262144031741,1215.0,0.05373134328358209
Keith Knisley,Emma L. Oleszak,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.015422108830585278,296.0,0.0007726240505337893,1215.0,0.05373134328358209
