author1,author2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,jaccard_similarity,label,adamic_adar_normalized,pyramid_match,pyramid_match_normalized,propagation,propagation_normalized,weisfeiler_pyramid_match,weisfeiler_pyramid_match_normalized
E Cornelissen,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05278248403492767,2954.0,0.01089534347625634,3645.0,0.16119402985074627
E Van Hamme,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05278248403492767,5106.0,0.018832641770401108,3645.0,0.16119402985074627
H L. Dewerchin,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05278248403492767,3032.0,0.011183033656062703,3645.0,0.16119402985074627
Yu-Tsung Huang,Po-Ren Hsueh,1.1777856130458912,2.0,195.0,66.0,,1,0.03514961732564581,1635.875,0.14213258612450586,2250.0,0.008298755186721992,2430.0,0.10746268656716418
Mi-Na Kim,Heungsup Sung,8.753657514515655,25.0,884.0,35.0,0.7142857142857143,1,0.2612425456949442,5830.0,0.5065380772405405,24885.0,0.09178423236514523,11147.25,0.4929684908789387
Mi-Na Kim,Sang-Ho Choi,6.929691788084171,22.0,782.0,35.0,,1,0.20680844785148364,3600.625,0.3128393935444633,9994.0,0.03686122637159982,6113.625,0.2703648424543947
B Guery,T D&apos;escrivan,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.1879317085885573,27861.0,0.10276071922544952,4570.0,0.20210060807075733
B Guery,H Georges,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.1879317085885573,58682.0,0.21643891194098663,4570.0,0.20210060807075733
B Guery,L Legout,2.4191046988122498,5.0,108.0,19.0,,1,0.07219531593192344,2163.0,0.1879317085885573,20733.0,0.07647026279391425,4570.0,0.20210060807075733
H Georges,L Legout,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.19158086797862636,19856.0,0.07323559243891195,13230.0,0.5850746268656717
T D&apos;escrivan,O Leroy,4.51019598729719,9.0,100.0,11.0,,1,0.13460145994412184,2205.0,0.19158086797862636,41768.0,0.15405440295066852,13230.0,0.5850746268656717
L Legout,O Leroy,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.19158086797862636,27616.0,0.10185707699400647,13230.0,0.5850746268656717
