author1,author2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,jaccard_similarity,label,adamic_adar_normalized,pyramid_match,pyramid_match_normalized,propagation,propagation_normalized,weisfeiler_pyramid_match,weisfeiler_pyramid_match_normalized
E Cornelissen,H L. Dewerchin,1.8204784532536746,2.0,9.0,4.0,1.0,1,0.05433002430380084,607.5,0.046266326491755834,3076.0,0.01562690510058931,3645.0,0.16119402985074627
E Cornelissen,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.046266326491755834,2646.0,0.01344238975817923,3645.0,0.16119402985074627
H L. Dewerchin,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.046266326491755834,2872.0,0.014590530380004064,3645.0,0.16119402985074627
Koussay Dellagi,Hervé Pascalis,6.083969133528182,18.0,361.0,20.0,0.6,1,0.1815688564165065,5691.0,0.4334183770610411,105404.0,0.5354805933753302,13756.5,0.6083582089552239
Mi-Na Kim,Sang-Ho Choi,6.929691788084171,22.0,782.0,35.0,,1,0.20680844785148364,3600.625,0.27421842275617836,8163.0,0.04147022962812436,6113.625,0.2703648424543947
Heungsup Sung,Sang-Ho Choi,6.90634260370537,22.0,598.0,27.0,,1,0.20611161908511896,3907.625,0.2975991013289669,5802.0,0.02947571631782158,7477.5,0.3306799336650083
B Guery,T D&apos;escrivan,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.16473096987928867,37949.0,0.19279109937004674,4570.0,0.20210060807075733
B Guery,H Georges,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.16473096987928867,15050.0,0.07645803698435277,4570.0,0.20210060807075733
T D&apos;escrivan,H Georges,4.51019598729719,9.0,100.0,11.0,1.0,1,0.13460145994412184,2205.0,0.16792962948859524,20902.0,0.1061877667140825,13230.0,0.5850746268656717
B Guery,L Legout,2.4191046988122498,5.0,108.0,19.0,,1,0.07219531593192344,2163.0,0.16473096987928867,18635.0,0.09467079861816703,4570.0,0.20210060807075733
T D&apos;escrivan,L Legout,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.16792962948859524,23954.0,0.1216927453769559,13230.0,0.5850746268656717
T D&apos;escrivan,O Leroy,4.51019598729719,9.0,100.0,11.0,,1,0.13460145994412184,2205.0,0.16792962948859524,35864.0,0.18219874009347692,13230.0,0.5850746268656717
B Guery,O Leroy,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.16473096987928867,30288.0,0.15387116439748016,4570.0,0.20210060807075733
B Guery,N Viget,2.4191046988122498,5.0,108.0,19.0,,1,0.07219531593192344,2163.0,0.16473096987928867,15351.0,0.07798719772403982,4570.0,0.20210060807075733
T D&apos;escrivan,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.16792962948859524,19416.0,0.09863848811217232,13230.0,0.5850746268656717
