author1,author2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,jaccard_similarity,label,adamic_adar_normalized,pyramid_match,pyramid_match_normalized,propagation,propagation_normalized,weisfeiler_pyramid_match,weisfeiler_pyramid_match_normalized
E Cornelissen,H L. Dewerchin,1.8204784532536746,2.0,9.0,4.0,1.0,1,0.06714035315044739,607.5,0.046266326491755834,2732.0,0.020704969344216326,3645.0,0.16119402985074627
H L. Dewerchin,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.06714035315044739,607.5,0.046266326491755834,4678.0,0.03545309172483308,3645.0,0.16119402985074627
E Cornelissen,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.06714035315044739,607.5,0.046266326491755834,3878.0,0.029390143161372957,3645.0,0.16119402985074627
T D&apos;escrivan,L Legout,2.3307864731701917,5.0,60.0,11.0,,1,0.08596082345673682,2205.0,0.16792962948859524,22826.0,0.17299107988692602,13230.0,0.5850746268656717
H Georges,L Legout,2.3307864731701917,5.0,60.0,11.0,,1,0.08596082345673682,2205.0,0.16792962948859524,12584.0,0.09537018090322777,13230.0,0.5850746268656717
T D&apos;escrivan,O Leroy,4.51019598729719,9.0,100.0,11.0,,1,0.16633877254831106,2205.0,0.16792962948859524,20410.0,0.15468097522527643,13230.0,0.5850746268656717
H Georges,O Leroy,4.51019598729719,9.0,100.0,11.0,,1,0.16633877254831106,2205.0,0.16792962948859524,16988.0,0.12874671274507576,13230.0,0.5850746268656717
L Legout,N Viget,2.206970328522196,5.0,36.0,7.0,1.0,1,0.08139440869772901,2205.0,0.16792962948859524,23090.0,0.17499185291286787,13230.0,0.5850746268656717
H Georges,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.08596082345673682,2205.0,0.16792962948859524,17304.0,0.13114157742764251,13230.0,0.5850746268656717
T D&apos;escrivan,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.08596082345673682,2205.0,0.16792962948859524,15160.0,0.11489287527756936,13230.0,0.5850746268656717
O Leroy,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.08596082345673682,2205.0,0.16792962948859524,38754.0,0.29370438578541713,13230.0,0.5850746268656717
H Georges,K Faure,2.3307864731701917,5.0,60.0,11.0,,1,0.08596082345673682,2205.0,0.16792962948859524,39324.0,0.29802423663688243,13230.0,0.5850746268656717
O Leroy,K Faure,2.3307864731701917,5.0,60.0,11.0,,1,0.08596082345673682,2205.0,0.16792962948859524,16214.0,0.12288081000992808,13230.0,0.5850746268656717
T D&apos;escrivan,K Faure,2.3307864731701917,5.0,60.0,11.0,,1,0.08596082345673682,2205.0,0.16792962948859524,17980.0,0.1362647689637663,13230.0,0.5850746268656717
