author1,author2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,jaccard_similarity,label,adamic_adar_normalized,pyramid_match,pyramid_match_normalized,propagation,propagation_normalized,weisfeiler_pyramid_match,weisfeiler_pyramid_match_normalized
E Cornelissen,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05028036996420369,3032.0,0.003731898997482938,3645.0,0.17365618933050656
H L. Dewerchin,E Van Hamme,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05028036996420369,4954.0,0.006097568480715855,3645.0,0.17365618933050656
E Cornelissen,H J. Nauwynck,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,607.5,0.05028036996420369,2776.0,0.0034168046230252753,3645.0,0.17365618933050656
B Guery,H Georges,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.17902294688489312,39912.0,0.04912518231778991,4570.0,0.21772531831012756
T D&apos;escrivan,H Georges,4.51019598729719,9.0,100.0,11.0,1.0,1,0.13460145994412184,2205.0,0.18249912061081336,16656.0,0.020500827738151654,13230.0,0.6303076501625794
T D&apos;escrivan,L Legout,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,8910.0,0.010966761236006917,13230.0,0.6303076501625794
H Georges,L Legout,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,9150.0,0.011262162212060976,13230.0,0.6303076501625794
T D&apos;escrivan,O Leroy,4.51019598729719,9.0,100.0,11.0,,1,0.13460145994412184,2205.0,0.18249912061081336,15302.0,0.018834273898246674,13230.0,0.6303076501625794
B Guery,O Leroy,4.598514212939248,9.0,180.0,19.0,,1,0.1372372128348115,2163.0,0.17902294688489312,64961.0,0.07995642835603203,4570.0,0.21772531831012756
L Legout,O Leroy,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,12176.0,0.014986676185142562,13230.0,0.6303076501625794
B Guery,N Viget,2.4191046988122498,5.0,108.0,19.0,,1,0.07219531593192344,2163.0,0.17902294688489312,35030.0,0.043116234129890275,4570.0,0.21772531831012756
T D&apos;escrivan,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,46814.0,0.05762042205414454,13230.0,0.6303076501625794
O Leroy,N Viget,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,36248.0,0.044615394083364616,13230.0,0.6303076501625794
O Leroy,K Faure,2.3307864731701917,5.0,60.0,11.0,,1,0.0695595630412338,2205.0,0.18249912061081336,38702.0,0.04763586906351736,13230.0,0.6303076501625794
N Viget,K Faure,2.206970328522196,5.0,36.0,7.0,,1,0.06586441678124609,2205.0,0.18249912061081336,11742.0,0.014452492753444807,13230.0,0.6303076501625794
B Guery,K Faure,2.4191046988122498,5.0,108.0,19.0,,1,0.07219531593192344,2163.0,0.17902294688489312,29906.0,0.03680942329113612,4570.0,0.21772531831012756
L Legout,K Faure,2.206970328522196,5.0,36.0,7.0,,1,0.06586441678124609,2205.0,0.18249912061081336,14484.0,0.017827448904862424,13230.0,0.6303076501625794
Keith Knisley,L Scott Rodkey,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.016760123321401227,236.0,0.0002904776264531574,1215.0,0.057885396443502185
Keith Knisley,Julian L. Leibowitzatb,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.016760123321401227,362.0,0.00044556313888153805,1215.0,0.057885396443502185
Julian L. Leibowitzatb,Emma L. Oleszak,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.016760123321401227,216.0,0.00026586087844865256,1215.0,0.057885396443502185
Keith Knisley,Emma L. Oleszak,2.164042561333445,3.0,16.0,5.0,,1,0.06458328838859503,202.5,0.016760123321401227,178.0,0.0002190890572400933,1215.0,0.057885396443502185
Tsutomu Hohdatsu,Takahiro Tatekawa,0.35295612386476116,1.0,54.0,28.0,,1,0.010533557677365005,517.0,0.04279004324525647,1475.0,0.001815485165332234,1118.5,0.05328791433914172
Brenda Griffin,Henry J. Baker,0.0,0.0,1.0,2.0,1.0,1,0.0,0,0.0,0,0.0,0,0.0
Martin Meier-Schellersheim,Aleksandra Nita-Lazar,1.8204784532536746,2.0,9.0,4.0,1.0,1,0.05433002430380084,776.25,0.0642471393987047,5297.0,0.006519745708993114,4657.5,0.2218940197000917
Ronald N. Germain,Iain D C Fraser,1.8204784532536746,2.0,9.0,4.0,,1,0.05433002430380084,697.75,0.057750005172877567,3888.0,0.004785495812075746,1673.5,0.07972939172691433
Johanna Nokso-Koivisto,Tasnee Chonmaitree,3.4592826638065475,5.0,264.0,30.0,,1,0.10323819590527047,2757.375,0.22821701255974672,6094.0,0.007500723116972633,5097.625,0.24286258769161137
Walid S. Maaty,Kyla Selvig,5.324340220853865,15.0,256.0,17.0,1.0,1,0.1588986307877967,1215.0,0.10056073992840737,445.0,0.0005477226431002333,7290.0,0.3473123786610131
Walid S. Maaty,Stephanie Ryder,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,895.0,0.0011015994732015927,7290.0,0.3473123786610131
Walid S. Maaty,Pavel Tarlykov,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,531.0,0.0006535746595196042,7290.0,0.3473123786610131
Kyla Selvig,Jonathan K. Hilmer,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,1527.0,0.0018794887101439466,7290.0,0.3473123786610131
Stephanie Ryder,Jonathan K. Hilmer,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,511.0,0.0006289579115150993,7290.0,0.3473123786610131
Walid S. Maaty,Jonathan K. Hilmer,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,569.0,0.0007003464807281635,7290.0,0.3473123786610131
Jonathan K. Hilmer,Joshua Heinemann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,293.0,0.0003606353582659963,7290.0,0.3473123786610131
Walid S. Maaty,Joshua Heinemann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,1005.0,0.0012369915872263695,7290.0,0.3473123786610131
Stephanie Ryder,Joshua Heinemann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,443.0,0.0005452609682997828,7290.0,0.3473123786610131
Pavel Tarlykov,Joseph Steffens,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,1381.0,0.001699786449711061,7290.0,0.3473123786610131
Walid S. Maaty,Joseph Steffens,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,357.0,0.00043940895188041186,7290.0,0.3473123786610131
Stephanie Ryder,Joseph Steffens,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,607.0,0.0007471183019367227,7290.0,0.3473123786610131
Jonathan K. Hilmer,Joseph Steffens,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,745.0,0.0009169738631678063,7290.0,0.3473123786610131
Walid S. Maaty,Jamie C. Snyder,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,695.0,0.0008554319931565441,7290.0,0.3473123786610131
Jonathan K. Hilmer,Jamie C. Snyder,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,503.0,0.0006191112123132974,7290.0,0.3473123786610131
Joseph Steffens,Jamie C. Snyder,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,969.0,0.0011926814408182607,7290.0,0.3473123786610131
Pavel Tarlykov,Jamie C. Snyder,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,347.0,0.0004271005778781594,7290.0,0.3473123786610131
Pavel Tarlykov,Alice C. Ortmann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,473.0,0.0005821860903065401,7290.0,0.3473123786610131
Walid S. Maaty,Alice C. Ortmann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,559.0,0.000688038106725911,7290.0,0.3473123786610131
Jonathan K. Hilmer,Alice C. Ortmann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,417.0,0.0005132591958939265,7290.0,0.3473123786610131
Joseph Steffens,Alice C. Ortmann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,971.0,0.0011951431156187113,7290.0,0.3473123786610131
Joshua Heinemann,Alice C. Ortmann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,559.0,0.000688038106725911,7290.0,0.3473123786610131
Stephanie Ryder,Alice C. Ortmann,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,817.0,0.0010055941559840237,7290.0,0.3473123786610131
Joseph Steffens,Navid Movahed,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,311.0,0.00038279043147005065,7290.0,0.3473123786610131
Jamie C. Snyder,Navid Movahed,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,511.0,0.0006289579115150993,7290.0,0.3473123786610131
Jonathan K. Hilmer,Navid Movahed,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,689.0,0.0008480469687551926,7290.0,0.3473123786610131
Alice C. Ortmann,Navid Movahed,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,427.0,0.0005255675698961789,7290.0,0.3473123786610131
Kyla Selvig,Navid Movahed,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,675.0,0.0008308152451520392,7290.0,0.3473123786610131
Pavel Tarlykov,Navid Movahed,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,415.0,0.000510797521093476,7290.0,0.3473123786610131
Stephanie Ryder,Kevin Spicka,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,931.0,0.0011459096196097015,7290.0,0.3473123786610131
Alice C. Ortmann,Kevin Spicka,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,295.0,0.00036309703306644677,7290.0,0.3473123786610131
Walid S. Maaty,Kevin Spicka,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,1001.0,0.0012320682376254686,7290.0,0.3473123786610131
Kyla Selvig,Lakshindra Chetia,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,523.0,0.0006437279603178022,7290.0,0.3473123786610131
Pavel Tarlykov,Lakshindra Chetia,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,451.0,0.0005551076675015847,7290.0,0.3473123786610131
Jonathan K. Hilmer,Lakshindra Chetia,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,1065.0,0.001310841831239884,7290.0,0.3473123786610131
Jonathan K. Hilmer,Paul A. Grieco,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,411.0,0.000505874171492575,7290.0,0.3473123786610131
Stephanie Ryder,Paul A. Grieco,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,841.0,0.0010351342535894297,7290.0,0.3473123786610131
Jamie C. Snyder,Paul A. Grieco,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,385.0,0.00047387239908671866,7290.0,0.3473123786610131
Walid S. Maaty,Edward A. Dratz,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,887.0,0.0010917527739997908,7290.0,0.3473123786610131
Jamie C. Snyder,Edward A. Dratz,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,719.0,0.00088497209076195,7290.0,0.3473123786610131
Kevin Spicka,Edward A. Dratz,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,883.0,0.0010868294243988898,7290.0,0.3473123786610131
Lakshindra Chetia,Edward A. Dratz,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,397.0,0.0004886424478894216,7290.0,0.3473123786610131
Paul A. Grieco,Edward A. Dratz,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,2371.0,0.002918315475934052,7290.0,0.3473123786610131
Jonathan K. Hilmer,Edward A. Dratz,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,521.0,0.0006412662855173518,7290.0,0.3473123786610131
Kyla Selvig,Edward A. Dratz,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,355.0,0.0004369472770799614,7290.0,0.3473123786610131
Pavel Tarlykov,Edward A. Dratz,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,373.0,0.00045910235028401574,7290.0,0.3473123786610131
Alice C. Ortmann,Trevor Douglas,5.410106403333613,15.0,608.0,39.0,,1,0.1614582209714876,1148.5,0.0950567981957003,1959.0,0.0024112104670412516,2360.25,0.11244774235043295
Jonathan K. Hilmer,Trevor Douglas,5.410106403333613,15.0,608.0,39.0,,1,0.1614582209714876,1148.5,0.0950567981957003,1511.0,0.0018597953117403425,2360.25,0.11244774235043295
Pavel Tarlykov,Trevor Douglas,5.410106403333613,15.0,608.0,39.0,,1,0.1614582209714876,1148.5,0.0950567981957003,5539.0,0.006817608359847622,2360.25,0.11244774235043295
Stephanie Ryder,Trevor Douglas,5.410106403333613,15.0,608.0,39.0,,1,0.1614582209714876,1148.5,0.0950567981957003,734.0,0.0009034346517653286,2360.25,0.11244774235043295
Edward A. Dratz,Trevor Douglas,5.410106403333613,15.0,608.0,39.0,,1,0.1614582209714876,1148.5,0.0950567981957003,3441.0,0.004235311494175062,2360.25,0.11244774235043295
Trevor Douglas,Mark J. Young,5.410106403333613,15.0,608.0,39.0,,1,0.1614582209714876,1148.5,0.0950567981957003,774.0,0.0009526681477743383,2360.25,0.11244774235043295
Walid S. Maaty,Mark J. Young,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,925.0,0.00113852459520835,7290.0,0.3473123786610131
Edward A. Dratz,Mark J. Young,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,579.0,0.0007126548547304159,7290.0,0.3473123786610131
Joshua Heinemann,Mark J. Young,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,1213.0,0.0014930057664732201,7290.0,0.3473123786610131
Kyla Selvig,Mark J. Young,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,1927.0,0.002371823670234044,7290.0,0.3473123786610131
Paul A. Grieco,Mark J. Young,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,803.0,0.0009883624323808703,7290.0,0.3473123786610131
Jonathan K. Hilmer,Mark J. Young,5.324340220853865,15.0,256.0,17.0,,1,0.1588986307877967,1215.0,0.10056073992840737,2393.0,0.002945393898739007,7290.0,0.3473123786610131
